Date,County,Date in Selected Range Filter,Month Name,Product Detail Selector,Month Year,Tooltip Date,Sales,Sales Detail
10/1/2016,Multnomah,TRUE,October,Total,10/1/2016,Oct-16,21365.15,21365.15
10/1/2016,Multnomah,TRUE,October,Total,10/1/2016,Oct-16,39730.56,39730.56
10/1/2016,Multnomah,TRUE,October,Total,10/1/2016,Oct-16,852.5,852.5
10/1/2016,Multnomah,TRUE,October,Total,10/1/2016,Oct-16,21966.41,21966.41
10/1/2016,Multnomah,TRUE,October,Total,10/1/2016,Oct-16,623.25,623.25
10/1/2016,Multnomah,TRUE,October,Total,10/1/2016,Oct-16,7014.15,7014.15
10/1/2016,Multnomah,TRUE,October,Total,10/1/2016,Oct-16,91286.55,91286.55
10/1/2016,Tillamook,TRUE,October,Total,10/1/2016,Oct-16,414.65,414.65
10/1/2016,Tillamook,TRUE,October,Total,10/1/2016,Oct-16,24,24
10/1/2016,Tillamook,TRUE,October,Total,10/1/2016,Oct-16,56,56
10/1/2016,Tillamook,TRUE,October,Total,10/1/2016,Oct-16,1799.44,1799.44
10/1/2016,Tillamook,TRUE,October,Total,10/1/2016,Oct-16,676.83,676.83
10/1/2016,Washington,TRUE,October,Total,10/1/2016,Oct-16,51582.31,51582.31
10/1/2016,Washington,TRUE,October,Total,10/1/2016,Oct-16,25125.84,25125.84
10/1/2016,Washington,TRUE,October,Total,10/1/2016,Oct-16,9773.88,9773.88
10/1/2016,Washington,TRUE,October,Total,10/1/2016,Oct-16,190621.27,190621.27
10/1/2016,Washington,TRUE,October,Total,10/1/2016,Oct-16,4116.36,4116.36
10/1/2016,Washington,TRUE,October,Total,10/1/2016,Oct-16,1980.6,1980.6
10/1/2016,Washington,TRUE,October,Total,10/1/2016,Oct-16,822.12,822.12
10/1/2016,Washington,TRUE,October,Total,10/1/2016,Oct-16,10274.21,10274.21
10/1/2016,Yamhill,TRUE,October,Total,10/1/2016,Oct-16,12858.33,12858.33
