Date,Product Type,County,Month Name,Month Year,Tooltip Date,Market Share County,Sales,Sales Detail
10/1/2016,Usable MJ,Marion,October,10/1/2016,October 2016,64.05,133437.14,133437.14
10/1/2016,Concentrate/Extract,Marion,October,10/1/2016,October 2016,26.42,10032.91,10032.91
10/1/2016,Edible/Tincture,Marion,October,10/1/2016,October 2016,8.85,2021.51,2021.51
10/1/2016,Other,Marion,October,10/1/2016,October 2016,0.68,686.18,686.18
10/1/2016,Usable MJ,Marion,October,10/1/2016,October 2016,64.05,22152.23,22152.23
10/1/2016,Concentrate/Extract,Multnomah,October,10/1/2016,October 2016,26.77,26073.4,26073.4
10/1/2016,Concentrate/Extract,Multnomah,October,10/1/2016,October 2016,26.77,240624.24,240624.24
10/1/2016,Edible/Tincture,Multnomah,October,10/1/2016,October 2016,10.88,109630.06,109630.06
10/1/2016,Edible/Tincture,Multnomah,October,10/1/2016,October 2016,10.88,819.13,819.13
10/1/2016,Other,Multnomah,October,10/1/2016,October 2016,4.06,1793.32,1793.32
10/1/2016,Other,Multnomah,October,10/1/2016,October 2016,4.06,40304.17,40304.17
10/1/2016,Usable MJ,Multnomah,October,10/1/2016,October 2016,58.28,622339.37,622339.37
10/1/2016,Concentrate/Extract,Multnomah,October,10/1/2016,October 2016,26.77,21365.15,21365.15
10/1/2016,Concentrate/Extract,Multnomah,October,10/1/2016,October 2016,26.77,39730.56,39730.56
10/1/2016,Edible/Tincture,Multnomah,October,10/1/2016,October 2016,10.88,852.5,852.5
10/1/2016,Edible/Tincture,Multnomah,October,10/1/2016,October 2016,10.88,21966.41,21966.41
10/1/2016,Other,Multnomah,October,10/1/2016,October 2016,4.06,623.25,623.25
10/1/2016,Other,Multnomah,October,10/1/2016,October 2016,4.06,7014.15,7014.15
10/1/2016,Usable MJ,Multnomah,October,10/1/2016,October 2016,58.28,91286.55,91286.55
10/1/2016,Concentrate/Extract,Tillamook,October,10/1/2016,October 2016,13.96,414.65,414.65
10/1/2016,Edible/Tincture,Tillamook,October,10/1/2016,October 2016,0.81,24,24
10/1/2016,Other,Tillamook,October,10/1/2016,October 2016,1.88,56,56
10/1/2016,Usable MJ,Tillamook,October,10/1/2016,October 2016,83.35,1799.44,1799.44
10/1/2016,Usable MJ,Tillamook,October,10/1/2016,October 2016,83.35,676.83,676.83
10/1/2016,Concentrate/Extract,Washington,October,10/1/2016,October 2016,18.93,51582.31,51582.31
10/1/2016,Edible/Tincture,Washington,October,10/1/2016,October 2016,9.21,25125.84,25125.84
10/1/2016,Other,Washington,October,10/1/2016,October 2016,3.6,9773.88,9773.88
10/1/2016,Usable MJ,Washington,October,10/1/2016,October 2016,68.26,190621.27,190621.27
10/1/2016,Concentrate/Extract,Washington,October,10/1/2016,October 2016,18.93,4116.36,4116.36
10/1/2016,Edible/Tincture,Washington,October,10/1/2016,October 2016,9.21,1980.6,1980.6
10/1/2016,Other,Washington,October,10/1/2016,October 2016,3.6,822.12,822.12
10/1/2016,Usable MJ,Washington,October,10/1/2016,October 2016,68.26,10274.21,10274.21
10/1/2016,Concentrate/Extract,Yamhill,October,10/1/2016,October 2016,21.53,12858.33,12858.33
10/1/2016,Edible/Tincture,Yamhill,October,10/1/2016,October 2016,14.43,9081,9081
10/1/2016,Other,Yamhill,October,10/1/2016,October 2016,2.52,1606.13,1606.13
10/1/2016,Usable MJ,Yamhill,October,10/1/2016,October 2016,61.52,38654.15,38654.15
10/1/2016,Concentrate/Extract,Yamhill,October,10/1/2016,October 2016,21.53,1299.17,1299.17
10/1/2016,Edible/Tincture,Yamhill,October,10/1/2016,October 2016,14.43,411.44,411.44
10/1/2016,Other,Yamhill,October,10/1/2016,October 2016,2.52,51.81,51.81
10/1/2016,Usable MJ,Yamhill,October,10/1/2016,October 2016,61.52,1802.2,1802.2
11/1/2016,Usable MJ,Baker,November,11/1/2016,November 2016,100,188477.52,188477.52
11/1/2016,Usable MJ,Baker,November,11/1/2016,November 2016,100,1686.1,1686.1
11/1/2016,Concentrate/Extract,Clackamas,November,11/1/2016,November 2016,13.58,2315.28,2315.28
11/1/2016,Edible/Tincture,Clackamas,November,11/1/2016,November 2016,4.98,338.96,338.96
11/1/2016,Other,Clackamas,November,11/1/2016,November 2016,2.35,486.23,486.23
11/1/2016,Usable MJ,Clackamas,November,11/1/2016,November 2016,79.09,17086.67,17086.67
11/1/2016,Concentrate/Extract,Clackamas,November,11/1/2016,November 2016,13.58,981.5,981.5
11/1/2016,Edible/Tincture,Clackamas,November,11/1/2016,November 2016,4.98,871.4,871.4
11/1/2016,Other,Clackamas,November,11/1/2016,November 2016,2.35,85,85
11/1/2016,Usable MJ,Clackamas,November,11/1/2016,November 2016,79.09,2116.15,2116.15
11/1/2016,Concentrate/Extract,Clatsop,November,11/1/2016,November 2016,6.28,3299,3299
11/1/2016,Edible/Tincture,Clatsop,November,11/1/2016,November 2016,3.79,1819,1819
11/1/2016,Other,Clatsop,November,11/1/2016,November 2016,1.26,583,583
11/1/2016,Usable MJ,Clatsop,November,11/1/2016,November 2016,88.67,44134.7,44134.7
11/1/2016,Concentrate/Extract,Clatsop,November,11/1/2016,November 2016,6.28,226,226
11/1/2016,Edible/Tincture,Clatsop,November,11/1/2016,November 2016,3.79,311.5,311.5
11/1/2016,Other,Clatsop,November,11/1/2016,November 2016,1.26,122,122
11/1/2016,Usable MJ,Clatsop,November,11/1/2016,November 2016,88.67,5651.65,5651.65
11/1/2016,Concentrate/Extract,Columbia,November,11/1/2016,November 2016,8.7,3078.55,3078.55
11/1/2016,Edible/Tincture,Columbia,November,11/1/2016,November 2016,1.76,694.31,694.31
11/1/2016,Other,Columbia,November,11/1/2016,November 2016,0.5,171,171
11/1/2016,Usable MJ,Columbia,November,11/1/2016,November 2016,89.04,35779.54,35779.54
11/1/2016,Concentrate/Extract,Columbia,November,11/1/2016,November 2016,8.7,460.25,460.25
11/1/2016,Edible/Tincture,Columbia,November,11/1/2016,November 2016,1.76,23.25,23.25
11/1/2016,Other,Columbia,November,11/1/2016,November 2016,0.5,32,32
11/1/2016,Usable MJ,Columbia,November,11/1/2016,November 2016,89.04,446.68,446.68
11/1/2016,Usable MJ,Curry,November,11/1/2016,November 2016,100,3074,3074
11/1/2016,Concentrate/Extract,Deschutes,November,11/1/2016,November 2016,11.63,20733.89,20733.89
11/1/2016,Edible/Tincture,Deschutes,November,11/1/2016,November 2016,7.44,13884.55,13884.55
11/1/2016,Other,Deschutes,November,11/1/2016,November 2016,4.99,10104.31,10104.31
11/1/2016,Usable MJ,Deschutes,November,11/1/2016,November 2016,75.94,158114.26,158114.26
11/1/2016,Concentrate/Extract,Deschutes,November,11/1/2016,November 2016,11.63,8269.51,8269.51
11/1/2016,Edible/Tincture,Deschutes,November,11/1/2016,November 2016,7.44,4652.11,4652.11
11/1/2016,Other,Deschutes,November,11/1/2016,November 2016,4.99,2344.83,2344.83
11/1/2016,Usable MJ,Deschutes,November,11/1/2016,November 2016,75.94,31187.85,31187.85
11/1/2016,Concentrate/Extract,Douglas,November,11/1/2016,November 2016,29.59,30604.47,30604.47
11/1/2016,Edible/Tincture,Douglas,November,11/1/2016,November 2016,4.24,4387.92,4387.92
11/1/2016,Other,Douglas,November,11/1/2016,November 2016,0.17,172,172
11/1/2016,Usable MJ,Douglas,November,11/1/2016,November 2016,66,68258.38,68258.38
11/1/2016,Concentrate/Extract,Hood River,November,11/1/2016,November 2016,22.69,22124.52,22124.52
11/1/2016,Edible/Tincture,Hood River,November,11/1/2016,November 2016,16,15644.1,15644.1
11/1/2016,Other,Hood River,November,11/1/2016,November 2016,3.49,3363.78,3363.78
11/1/2016,Usable MJ,Hood River,November,11/1/2016,November 2016,57.82,59309.06,59309.06
11/1/2016,Concentrate/Extract,Hood River,November,11/1/2016,November 2016,22.69,2544.5,2544.5
11/1/2016,Edible/Tincture,Hood River,November,11/1/2016,November 2016,16,1756.73,1756.73
11/1/2016,Other,Hood River,November,11/1/2016,November 2016,3.49,433.54,433.54
11/1/2016,Usable MJ,Hood River,November,11/1/2016,November 2016,57.82,3555.39,3555.39
11/1/2016,Concentrate/Extract,Jackson,November,11/1/2016,November 2016,16.01,60,60
11/1/2016,Concentrate/Extract,Jackson,November,11/1/2016,November 2016,16.01,23277.43,23277.43
11/1/2016,Edible/Tincture,Jackson,November,11/1/2016,November 2016,10.48,36.75,36.75
11/1/2016,Edible/Tincture,Jackson,November,11/1/2016,November 2016,10.48,15586.39,15586.39
11/1/2016,Other,Jackson,November,11/1/2016,November 2016,7.06,11674.63,11674.63
